sample,t_ms,ch1_uv
760,215961.38,186847.7985
761,215981.81,186924.1074
762,216001.66,186960.8313
763,216021.88,186761.3867
764,216041.72,186846.9268
765,216061.67,186802.3127
766,216081.43,186875.4700
767,216101.27,186896.7265
768,216121.73,186898.0229
769,216142.02,186910.9422
770,216161.27,186777.3011
771,216181.70,186787.8512
772,216201.51,186842.1659
773,216221.33,186856.6275
774,216245.46,186779.1787
775,216261.36,186754.2118
776,216281.20,186800.2564
777,216301.64,186846.5468
778,216321.49,186893.9996
779,216341.79,186873.2125
780,216361.60,186904.9296
781,216381.51,186859.1532
782,216401.26,186837.2038
783,216421.18,186907.8130
784,216441.66,186885.9082
785,216461.47,186810.5829
786,216481.34,186818.2272
787,216501.17,186897.2629
788,216521.00,186848.5585
789,216541.48,186924.3979
790,216562.08,186851.8665
791,216581.07,186844.2446
792,216601.54,186820.6188
793,216621.29,186848.8938
794,216641.09,186833.8734
795,216681.41,186856.4710
796,216701.25,186818.8754
797,216721.07,186805.0620
798,216741.49,186878.9122
799,216761.51,186875.0229
800,216781.10,186890.8033
801,216801.58,186794.1320
802,216821.35,186788.7005
803,216841.12,186868.4068
804,216861.53,186840.0648
805,216881.53,186845.5186
806,216901.31,186824.8209
807,216921.18,186868.2280
808,216940.94,186868.2727
809,216961.37,186796.5236
810,217001.04,186830.6994
811,217020.89,186841.9871
812,217040.66,186853.9006
813,217061.10,186924.9120
814,217081.15,186798.5800
815,217101.33,186761.0514
816,217121.15,186812.3040
817,217141.12,186843.5293
818,217161.03,186825.4468
819,217180.90,186858.3038
820,217201.17,186888.4563
821,217221.04,186828.0172
822,217240.94,186856.1357
823,217260.79,186835.3263
824,217281.24,186800.4128
825,217321.14,186878.6216
826,217341.03,186947.3085
827,217360.93,186895.6983
828,217380.76,186843.5517
829,217400.81,186790.3993
830,217420.65,186791.6286
831,217440.53,186856.8957
832,217461.05,186826.8102
833,217480.90,186842.7694
834,217500.74,186835.1698
835,217521.14,186843.3282
